,Zgony,Data
0,0,2020-03-04
1,0,2020-03-05
2,0,2020-03-06
3,0,2020-03-07
4,0,2020-03-08
5,0,2020-03-09
6,0,2020-03-10
7,0,2020-03-11
8,1,2020-03-12
9,1,2020-03-13
10,1,2020-03-14
11,0,2020-03-15
12,1,2020-03-16
13,1,2020-03-17
14,0,2020-03-18
15,0,2020-03-19
16,0,2020-03-20
17,0,2020-03-21
18,2,2020-03-22
19,1,2020-03-23
20,2,2020-03-24
21,3,2020-03-25
22,3,2020-03-26
23,0,2020-03-27
24,2,2020-03-28
25,4,2020-03-29
26,9,2020-03-30
27,2,2020-03-31
28,10,2020-04-01
29,14,2020-04-02
30,14,2020-04-03
31,8,2020-04-04
32,15,2020-04-05
33,13,2020-04-06
34,22,2020-04-07
35,30,2020-04-08
36,15,2020-04-09
37,7,2020-04-10
38,27,2020-04-11
39,24,2020-04-12
40,13,2020-04-13
41,18,2020-04-14
42,23,2020-04-15
43,28,2020-04-16
44,18,2020-04-17
45,15,2020-04-18
46,13,2020-04-19
47,20,2020-04-20
48,21,2020-04-21
49,25,2020-04-22
50,28,2020-04-23
51,40,2020-04-24
52,30,2020-04-25
53,11,2020-04-26
54,27,2020-04-27
55,34,2020-04-28
56,28,2020-04-29
57,20,2020-04-30
58,7,2020-05-01
59,12,2020-05-02
60,15,2020-05-03
61,20,2020-05-04
62,18,2020-05-05
63,17,2020-05-06
64,22,2020-05-07
65,21,2020-05-08
66,9,2020-05-09
67,15,2020-05-10
68,11,2020-05-11
69,28,2020-05-12
70,22,2020-05-13
71,22,2020-05-14
72,24,2020-05-15
73,8,2020-05-16
74,10,2020-05-17
75,11,2020-05-18
76,12,2020-05-19
77,14,2020-05-20
78,10,2020-05-21
79,10,2020-05-22
80,11,2020-05-23
81,3,2020-05-24
82,11,2020-05-25
83,17,2020-05-26
84,4,2020-05-27
85,10,2020-05-28
86,13,2020-05-29
87,10,2020-05-30
88,3,2020-05-31
89,10,2020-06-01
90,18,2020-06-02
91,23,2020-06-03
92,2,2020-06-04
93,20,2020-06-05
94,14,2020-06-06
95,4,2020-06-07
96,9,2020-06-08
97,19,2020-06-09
98,23,2020-06-10
99,9,2020-06-11
100,7,2020-06-12
101,15,2020-06-13
102,10,2020-06-14
103,9,2020-06-15
104,16,2020-06-16
105,14,2020-06-17
106,30,2020-06-18
107,18,2020-06-19
108,12,2020-06-20
109,10,2020-06-21
110,3,2020-06-22
111,16,2020-06-23
112,21,2020-06-24
113,16,2020-06-25
114,17,2020-06-26
115,6,2020-06-27
116,3,2020-06-28
117,6,2020-06-29
118,19,2020-06-30
119,14,2020-07-01
120,15,2020-07-02
121,15,2020-07-03
122,5,2020-07-04
123,5,2020-07-05
124,4,2020-07-06
125,7,2020-07-07
126,14,2020-07-08
127,9,2020-07-09
128,11,2020-07-10
129,6,2020-07-11
130,3,2020-07-12
131,5,2020-07-13
132,12,2020-07-14
133,6,2020-07-15
134,11,2020-07-16
135,8,2020-07-17
136,5,2020-07-18
137,6,2020-07-19
138,3,2020-07-20
139,9,2020-07-21
140,6,2020-07-22
141,9,2020-07-23
142,4,2020-07-24
143,9,2020-07-25
144,7,2020-07-26
145,5,2020-07-27
146,6,2020-07-28
147,12,2020-07-29
148,15,2020-07-30
149,7,2020-07-31
150,5,2020-08-01
151,10,2020-08-02
152,1,2020-08-03
153,6,2020-08-04
154,18,2020-08-05
155,18,2020-08-06
156,13,2020-08-07
157,13,2020-08-08
158,7,2020-08-09
159,2,2020-08-10
160,12,2020-08-11
161,9,2020-08-12
162,13,2020-08-13
163,15,2020-08-14
164,11,2020-08-15
165,8,2020-08-16
166,8,2020-08-17
167,11,2020-08-18
168,17,2020-08-19
169,12,2020-08-20
170,13,2020-08-21
171,13,2020-08-22
172,4,2020-08-23
173,5,2020-08-24
174,17,2020-08-25
175,17,2020-08-26
176,15,2020-08-27
177,9,2020-08-28
178,14,2020-08-29
179,1,2020-08-30
180,6,2020-08-31
181,19,2020-09-01
182,20,2020-09-02
183,14,2020-09-03
184,8,2020-09-04
185,13,2020-09-05
186,7,2020-09-06
187,7,2020-09-07
188,9,2020-09-08
189,11,2020-09-09
190,12,2020-09-10
191,10,2020-09-11
192,13,2020-09-12
193,6,2020-09-13
194,15,2020-09-14
195,24,2020-09-15
196,10,2020-09-16
197,16,2020-09-17
198,17,2020-09-18
199,12,2020-09-19
200,11,2020-09-20
201,5,2020-09-21
202,18,2020-09-22
203,28,2020-09-23
204,25,2020-09-24
205,23,2020-09-25
206,32,2020-09-26
207,8,2020-09-27
208,15,2020-09-28
209,36,2020-09-29
210,30,2020-09-30
211,30,2020-10-01
212,27,2020-10-02
213,34,2020-10-03
214,26,2020-10-04
215,29,2020-10-05
216,58,2020-10-06
217,75,2020-10-07
218,75,2020-10-08
219,52,2020-10-09
220,53,2020-10-10
221,32,2020-10-11
222,35,2020-10-12
223,62,2020-10-13
224,116,2020-10-14
225,91,2020-10-15
226,132,2020-10-16
227,84,2020-10-17
228,49,2020-10-18
229,41,2020-10-19
230,107,2020-10-20
231,130,2020-10-21
232,168,2020-10-22
233,153,2020-10-23
234,179,2020-10-24
235,87,2020-10-25
236,45,2020-10-26
237,132,2020-10-27
238,236,2020-10-28
239,301,2020-10-29
240,202,2020-10-30
241,280,2020-10-31
242,152,2020-11-01
243,92,2020-11-02
244,227,2020-11-03
245,373,2020-11-04
246,367,2020-11-05
247,445,2020-11-06
248,349,2020-11-07
249,236,2020-11-08
250,173,2020-11-09
251,330,2020-11-10
252,430,2020-11-11
253,275,2020-11-12
254,419,2020-11-13
255,546,2020-11-14
256,303,2020-11-15
257,143,2020-11-16
258,357,2020-11-17
259,603,2020-11-18
260,637,2020-11-19
